stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
751110,54.677997,-3.24495,319823.0,532151.0,3.891,0.3,2.21,0.44,1.9,level,Stage,m
3245TH,51.239844,-0.166451,528090.0,150560.0,2.461,-0.053,2.0,0.493,0.707,level,Stage,mASD
690155,53.650068,-2.31342,379380.0,417110.0,3.385,0.309,2.3,0.255,0.711,level,Stage,m
720120,53.937868,-2.770317,349527.0,449360.0,2.409,0.237,2.52,0.248,0.752,level,Stage,m
531158,51.580872,-2.094819,393526.0,186895.0,1.475,0.084,0.542,0.089,0.61,level,Stage,m
E1187,53.144196,-0.1400509999999999,524500.0,362400.0,2.073,-1.15,1.1,0.003,0.353,level,Stage,mASD
2195,51.717437,-2.482837,366740.0,202190.0,11.711,1.979,10.2,2.0,5.806,level,Stage,mASD
713205,53.69442,-2.466407,369300.0,422100.0,0.801,0.02,1.125,0.034,0.125,level,Stage,m
L0504,53.445208,-1.549184,430040.0,394367.0,4.44,0.76,2.3,0.88,1.24,level,Stage,m
E21227,51.987468,0.752212,589078.0,235690.0,2.519,0.254,1.65,0.154,0.706,level,Stage,m
52112,51.003358,-2.683234,352156.0,122886.0,3.991,0.0,2.9,0.056,1.098,level,Stage,m
45234,50.656145,-3.324921,306440.0,84890.0,0.892,0.111,0.651,0.458,0.533,level,Stage,m
L17013,53.812894,-1.481054,434267.0,435305.0,1.986,-0.014,0.5,0.052,0.104,level,Stage,m
2654,51.889602,-2.062354,395805.0,221230.0,2.167,0.176,1.3,0.24,0.593,level,Stage,mASD
3089TH,51.346115,-0.465049,507000.0,161900.0,4.038,0.082,2.24,0.238,1.857,level,Stage,mASD
3609TH,51.57755,-0.3802709999999999,512335.0,187764.0,1.263,-0.02,1.185,0.064,0.154,level,Stage,mASD
F1403,53.864265,-1.904159,406400.0,440900.0,2.166,0.137,1.27,0.22,0.838,level,Stage,m
E24807,52.559314,1.570041,642082.0,301709.0,2.34,-0.7000000000000001,2.03,-0.45,1.269,level,Stage,mASD
2023,52.100775,-1.910164,406250.0,244720.0,3.653,0.024,1.112,0.141,0.66,level,Stage,mASD
2617,51.723887,-2.130978,391049.0,202805.0,0.76,0.021,0.5,0.033,0.342,level,Stage,mASD
F2708,54.251128,-0.4843159999999999,498850.0,485000.0,0.636,-0.069,0.55,0.064,0.105,level,Stage,m
