stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
763117,55.09346,-2.481494,369368.0,577778.0,1.008,-0.02,0.9,0.033
2273,51.856617,-2.227456,384431.0,217584.0,0.717,0.114,1.0,0.14300000000000002
692705,53.402528,-2.23534,384450.0,389550.0,,,,
F3504,54.544622,-1.9288539999999998,404700.0,516600.0,3.092,0.297,1.7000000000000002,0.462
E71139,53.63018,-0.18742,519959.0,416378.0,5.305,,,
E12801,51.090021,-1.181212,457440.0,132620.0,0.732,0.13,0.55,0.17300000000000001
2267,52.394519,-2.253581,382841.0,277420.0,4.431,0.406,2.3,0.45
E22184,52.741419,0.38719499999999996,561250.0,318650.0,6.186,,,
L2373,54.373262,-1.705009,419261.0,497570.0,0.607,0.044,0.33,0.064
E71124,53.63022,-0.18742,519959.0,416382.0,,,,
44108,50.735508,-2.7613469999999998,346368.0,93154.0,,,,
E23746,52.556289,0.696541,582900.0,298800.0,,,,
E5464,51.066639,1.022482,611864.0,134047.0,,,,
49132,50.410447,-4.394551,229955.0,59472.0,1.107,0.07,0.7000000000000001,0.124
L2312,54.408693,-2.177133,388600.0,501487.0,3.492,-0.1,2.5,0.0
E8353,51.00633503803172,-0.079314859331096,534850.0,124750.0,,,,
9608SE,51.08683,1.174829,622439.0,136741.0,,,,
L2012,53.851914,-1.1580840000000001,455481.0,439850.0,9.51,0.16,2.039,0.331
681003,53.169457,-2.104665,393100.0,363600.0,2.558,0.12,0.47600000000000003,0.17200000000000001
1904TH,51.850671,-0.772585,484640.0,217610.0,2.03,0.0,1.51,0.07
LN23999,55.007531,-1.439658,435936.0,568253.0,,,,
E24828,52.192911,0.8895959999999999,597600.0,258900.0,,,,
694130,53.416714,-2.7289209999999997,351650.0,391350.0,,,,
L1389,53.721955,-1.715052,418900.0,425100.0,0.783,-0.105,0.55,-0.002
692422,53.454585,-2.095579,393750.0,395320.0,2.07,0.20400000000000001,2.73,0.223
E15230,51.266809,0.065457,544193.0,153988.0,103.274,102.723,0.8130000000000001,0.03
E4816,52.442994,-0.45772599999999997,504926.0,283900.0,,,,
693600,53.393994,-2.524543,365215.0,388703.0,,,,
E10440,50.992202,-0.674476,493124.0,122259.0,2.9290000000000003,-0.065,1.5,0.024
50196,51.198942,-4.025648,258568.0,146365.0,0.843,-0.004,0.6900000000000001,0.051000000000000004
49179,50.335947,-4.52528,220386.0,51497.0,,,,
44246,50.665744,-2.480878,366110.0,85230.0,0.354,0.09,0.298,0.113
4896,52.507787,-1.7045439999999998,420150.0,290030.0,2.83,0.718,1.9,0.75
0019,51.514457,0.723335,589060.0,183020.0,4.221,,,
2815TH,51.794792,-0.393076,510916.0,211904.0,0.754,-0.228,0.6000000000000001,-0.138
692820,53.44618,-2.228731,384905.0,394405.0,,,,
4105,52.558696,-1.999094,400158.0,295652.0,2.7279999999999998,0.14400000000000002,2.16,0.203
4003,52.52039,-1.751178,416980.0,291420.0,3.429,0.079,1.436,0.27
1934TH,51.808843,-0.823619,481200.0,212900.0,2.523,0.484,2.3,0.583
2757TH,51.493007,-0.594447,497675.0,178055.0,,,,
E46371,53.588667,-0.205983,518848.0,411729.0,,,,
4200,52.568845,-1.992912,400577.0,296781.0,2.48,0.003,1.34,0.108
L2407,53.965043,-1.098082,459268.0,452485.0,,,,
1645TH,51.752648,-1.281126,449720.0,206240.0,3.141,0.736,2.01,0.87
E21836,52.830878,1.126258,610698.0,330509.0,0.704,0.107,0.8200000000000001,0.025
692100,53.482675,-1.917346,405582.0,398444.0,,,,
4101,52.523665,-2.039788,397397.0,291756.0,2.83,0.215,2.66,0.28600000000000003
L13810,53.747561,-1.7466469999999998,416805.0,427941.0,1.72,0.048,0.30000000000000004,0.056
1675TH,51.730973,-1.251352,451800.0,203850.0,2.738,0.578,2.3,0.841
4202,52.675277,-0.888192,475270.0,309200.0,2.991,0.8210000000000001,2.5,0.844
E9883,51.086792,-0.406225,511722.0,133150.0,2.914,0.058,1.494,0.094
E47251,53.048222,-0.39616599999999996,507610.0,351310.0,0.934,0.17,0.7000000000000001,0.0
4153,52.620739,-1.76228,416190.0,302580.0,2.282,0.888,1.5,0.961
L12071,53.720197,-2.106486,393070.0,424872.0,,,,
724700,54.039446,-2.780563,348979.0,460669.0,1.293,0.194,0.53,0.05
F2004,53.920115,-1.358935,442200.0,447300.0,3.743,0.13,2.6,0.403
E8730,50.869751,4.2999999999999995e-05,540829.0,109711.0,5.39,4.69,5.6,4.8
E1114,52.539175,-0.739306,485601.0,294227.0,,,,
4166,52.899788,-1.657587,423130.0,333650.0,1.775,0.511,1.5,0.578
L0942,53.608835,-1.032201,464130.0,412912.0,3.885,1.041,2.5,1.068
52151,51.149147,-3.061825,325826.0,139413.0,1.905,0.163,1.0,0.20500000000000002
E1759,53.37106,0.008655,533736.0,387903.0,1.165,0.03,0.4,0.055
4092TH,51.468151,-0.250683,521605.0,175805.0,,,,
E1298,52.56293,-0.363911,511000.0,297380.0,,,,
4122,52.999734,-1.762306,416049.0,344740.0,2.982,0.084,2.1,0.241
L2472,53.952942,-1.078715,460556.0,451155.0,9.24,4.9,6.953,5.074
724427,54.105893,-2.605757,360490.0,467950.0,2.958,0.08,1.5,0.116
021999,55.767093,-2.005082,399779.0,652641.0,3.667,,,
E573,51.202093,0.33250399999999997,563050.0,147350.0,,,,
4165,53.083974,-2.178955,388110.0,354100.0,1.5470000000000002,0.149,0.9500000000000001,0.189
L1656,53.795159,-1.791858,413808.0,433227.0,1.94,1.018,1.306,1.03
L2201,54.097025,-1.394348,439706.0,466963.0,15.791,9.34,14.2,9.622
53196,51.203198,-2.389554,372880.0,144960.0,2.6550000000000002,0.5,2.0,0.638
5563TH,51.510944,0.165849,550394.0,181337.0,,,,
43190,50.876171,-1.9756369999999999,401810.0,108520.0,44.96,36.66,43.0,0.0
4152,53.008317,-2.228776,384746.0,345693.0,2.306,0.11,1.5,0.162
L17014,53.807923,-1.487022,433878.0,434749.0,2.14,0.16,1.2,0.162
0490TH,51.654587,-1.849612,410500.0,195100.0,1.108,-0.231,1.45,0.0
1080TH,51.793689,-1.564378,430140.0,210650.0,1.634,0.262,1.62,0.303
48142,50.271975,-5.078915,180699.0,45870.0,,,,
SU73/8,51.109062,-0.9949039999999999,470459.0,134899.0,118.23,92.795,118.05,93.719
4535,52.897211,-1.8824269999999999,408006.0,333315.0,1.482,0.249,0.6900000000000001,0.257
L2473,53.959909,-1.071856,460996.0,451936.0,,,,
52114,50.964926,-2.9120239999999997,336050.0,118786.0,2.202,0.03,1.3,0.075
F2760,54.202353,-0.5661769999999999,493627.0,479462.0,0.242,0.0,0.14200000000000002,0.04
E1120,51.191045,0.028291999999999998,541833.0,145491.0,,,,
E2081,52.890098,0.090848,540766.0,334564.0,,,,
4898,52.861553,-1.6789939999999999,421709.0,329390.0,3.773,0.289,2.48,0.387
2821TH,51.668568,-0.28768699999999997,518513.0,198032.0,2.19,0.8240000000000001,1.8,0.8270000000000001
5169TH,51.792981,0.16688,549535.0,212702.0,1.7109999999999999,0.002,1.47,0.076
48141,50.172667,-5.109444,178063.0,34921.0,,,,
4863,52.948907,-2.036414,397650.0,339060.0,1.8599999999999999,0.113,0.92,0.357
45212,50.688326,-3.294258,308670.0,88430.0,3.62,0.15,1.4,0.215
3219TH,51.102235,-0.173972,527945.0,135245.0,,,,
