stationReference,latestReading,parameter,qualifier,unitName
E24746,0.0,rainfall,Tipping Bucket Raingauge,mm
282290TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E270,0.0,rainfall,Tipping Bucket Raingauge,mm
E42991,0.0,rainfall,Tipping Bucket Raingauge,mm
E42981,0.0,rainfall,Tipping Bucket Raingauge,mm
282947TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E7200,0.0,rainfall,Tipping Bucket Raingauge,mm
287722TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E14080,0.0,rainfall,Tipping Bucket Raingauge,mm
E46061,0.0,rainfall,Tipping Bucket Raingauge,mm
1740,0.0,rainfall,Tipping Bucket Raingauge,mm
E1681,0.0,rainfall,Tipping Bucket Raingauge,mm
E27621,0.0,rainfall,Tipping Bucket Raingauge,mm
50110,0.0,rainfall,Tipping Bucket Raingauge,mm
3574,0.0,rainfall,Tipping Bucket Raingauge,mm
E7075,0.0,rainfall,Tipping Bucket Raingauge,mm
49104,0.0,rainfall,Tipping Bucket Raingauge,mm
586820,1.6,rainfall,Tipping Bucket Raingauge,mm
4103,,rainfall,Tipping Bucket Raingauge,mm
550148,,rainfall,Tipping Bucket Raingauge,mm
594202,0.2,rainfall,Tipping Bucket Raingauge,mm
3025,0.0,rainfall,Tipping Bucket Raingauge,mm
575384,0.0,rainfall,Tipping Bucket Raingauge,mm
E2410,0.0,rainfall,Tipping Bucket Raingauge,mm
263541TP,0.0,rainfall,Tipping Bucket Raingauge,mm
052287,0.0,rainfall,Tipping Bucket Raingauge,mm
E10500,0.0,rainfall,Tipping Bucket Raingauge,mm
3100,0.0,rainfall,Tipping Bucket Raingauge,mm
007292,0.0,rainfall,Tipping Bucket Raingauge,mm
E12570,0.0,rainfall,Tipping Bucket Raingauge,mm
244027TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E21637,0.0,rainfall,Tipping Bucket Raingauge,mm
257039TP,0.0,rainfall,Tipping Bucket Raingauge,mm
055R0521E_TG_326,0.0,rainfall,Tipping Bucket Raingauge,mm
E23500,0.0,rainfall,Tipping Bucket Raingauge,mm
261923TP,0.0,rainfall,Tipping Bucket Raingauge,mm
555207,0.0,rainfall,Tipping Bucket Raingauge,mm
3611,0.0,rainfall,Tipping Bucket Raingauge,mm
3601,0.0,rainfall,Tipping Bucket Raingauge,mm
E24889,0.0,rainfall,Tipping Bucket Raingauge,mm
E37271,0.0,rainfall,Tipping Bucket Raingauge,mm
589359,0.0,rainfall,Tipping Bucket Raingauge,mm
E2544,0.0,rainfall,Tipping Bucket Raingauge,mm
239579TP,0.0,rainfall,Tipping Bucket Raingauge,mm
586493,0.8,rainfall,Tipping Bucket Raingauge,mm
E21179,0.2,rainfall,Tipping Bucket Raingauge,mm
243045TP,0.0,rainfall,Tipping Bucket Raingauge,mm
558016,0.0,rainfall,Tipping Bucket Raingauge,mm
1045,0.0,rainfall,Tipping Bucket Raingauge,mm
E7105,0.0,rainfall,Tipping Bucket Raingauge,mm
051729,0.4,rainfall,Tipping Bucket Raingauge,mm
E24756,0.0,rainfall,Tipping Bucket Raingauge,mm
52101,0.0,rainfall,Tipping Bucket Raingauge,mm
E22309,0.0,rainfall,Tipping Bucket Raingauge,mm
